LINK	ANODE	BNODE	AB_000_015	AB_015_030	AB_030_045	AB_045_100	AB_100_115	AB_115_130	AB_130_145	AB_145_200	AB_200_215	AB_215_230	AB_230_245	AB_245_300	AB_300_315	AB_315_330	AB_330_345	AB_345_400	BA_000_015	BA_015_030	BA_030_045	BA_045_100	BA_100_115	BA_115_130	BA_130_145	BA_145_200	BA_200_215	BA_215_230	BA_230_245	BA_245_300	BA_300_315	BA_315_330	BA_330_345	BA_345_400
1	1	2	0.07	0.09	0.07	0.09	0.09	0.10	0.09	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.09	0.11	0.09	0.06	0.06	0.04	0.07	0.03	0.11	0.11	0.05	0.04	0.03	0.02	0.03
2	2	3	0.13	0.16	0.14	0.12	0.17	0.15	0.13	0.17	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.13	0.11	0.11	0.10	0.09	0.08	0.07	0.04	0.14	0.17	0.07	0.05	0.04	0.03	0.03
3	3	4	0.09	0.07	0.09	0.11	0.12	0.10	0.11	0.18	0.04	0.12	0.11	0.03	0.01	0.01	0.00	0.00	0.16	0.16	0.13	0.11	0.14	0.10	0.07	0.09	0.03	0.02	0.06	0.01	0.03	0.01	0.01	0.00
4	4	5	0.11	0.09	0.10	0.11	0.12	0.14	0.11	0.20	0.04	0.07	0.06	0.01	0.01	0.00	0.00	0.00	0.14	0.11	0.11	0.12	0.09	0.09	0.07	0.14	0.04	0.05	0.07	0.06	0.07	0.02	0.02	0.03
5	5	6	0.20	0.14	0.14	0.12	0.14	0.16	0.17	0.20	0.05	0.03	0.04	0.00	0.00	0.00	0.00	0.00	0.14	0.10	0.12	0.09	0.10	0.09	0.07	0.20	0.04	0.07	0.04	0.09	0.11	0.04	0.04	0.04
6	6	7	0.13	0.09	0.07	0.05	0.10	0.08	0.07	0.20	0.08	0.07	0.11	0.10	0.07	0.07	0.01	0.02	0.17	0.15	0.14	0.14	0.11	0.14	0.11	0.20	0.03	0.00	0.00	0.00	0.01	0.01	0.00	0.00
7	7	8	0.13	0.11	0.09	0.07	0.08	0.11	0.08	0.16	0.08	0.06	0.07	0.07	0.05	0.05	0.01	0.02	0.14	0.10	0.08	0.10	0.10	0.13	0.09	0.16	0.02	0.00	0.02	0.02	0.03	0.02	0.00	0.00
8	8	9	0.11	0.16	0.13	0.09	0.10	0.09	0.09	0.12	0.08	0.04	0.04	0.04	0.03	0.03	0.00	0.00	0.10	0.07	0.07	0.09	0.11	0.16	0.09	0.11	0.02	0.01	0.02	0.06	0.06	0.05	0.01	0.00
9	9	10	0.06	0.11	0.09	0.11	0.10	0.18	0.09	0.09	0.11	0.04	0.09	0.11	0.09	0.12	0.04	0.01	0.13	0.13	0.10	0.15	0.13	0.10	0.14	0.12	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10	10	11	0.05	0.08	0.07	0.09	0.08	0.12	0.08	0.05	0.07	0.03	0.04	0.07	0.06	0.07	0.04	0.00	0.07	0.11	0.07	0.10	0.09	0.07	0.10	0.09	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00
11	1	12	0.11	0.11	0.07	0.10	0.09	0.08	0.13	0.08	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.09	0.09	0.09	0.06	0.10	0.06	0.06	0.02	0.11	0.05	0.05	0.02	0.02	0.01	0.02
12	2	13	0.10	0.14	0.11	0.17	0.12	0.10	0.13	0.08	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.05	0.10	0.12	0.10	0.09	0.09	0.06	0.11	0.04	0.17	0.13	0.05	0.04	0.02	0.03	0.04
13	3	14	0.07	0.09	0.08	0.07	0.09	0.08	0.07	0.07	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.05	0.07	0.05	0.06	0.06	0.03	0.05	0.02	0.12	0.09	0.04	0.02	0.02	0.01	0.01
14	4	15	0.13	0.12	0.13	0.13	0.16	0.13	0.12	0.13	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.13	0.11	0.07	0.09	0.09	0.05	0.04	0.02	0.13	0.17	0.04	0.04	0.01	0.01	0.02
15	5	16	0.10	0.12	0.12	0.14	0.10	0.16	0.12	0.16	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.10	0.11	0.08	0.05	0.05	0.06	0.07	0.04	0.11	0.20	0.03	0.07	0.01	0.01	0.03
16	6	17	0.07	0.09	0.09	0.09	0.09	0.09	0.09	0.10	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.05	0.06	0.04	0.06	0.05	0.06	0.09	0.03	0.05	0.06	0.06	0.07	0.03	0.02	0.02
17	7	18	0.11	0.14	0.11	0.12	0.11	0.10	0.12	0.12	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.11	0.09	0.11	0.10	0.10	0.09	0.10	0.05	0.07	0.11	0.05	0.05	0.03	0.01	0.01
18	8	19	0.12	0.12	0.12	0.12	0.12	0.11	0.15	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.13	0.17	0.10	0.10	0.11	0.11	0.11	0.04	0.07	0.08	0.04	0.06	0.04	0.01	0.00
